model_seed,checkpoint_round,panel,client_i,client_j,jsdn,gradient_difference,update_difference,gradient_update_gap,gradient_cosine,update_cosine,gradient_norm_i,gradient_norm_j,update_norm_i,update_norm_j
42,0,raw,0,1,0.6913053808479027,1.4670834005956916,1.0445903166582733,-0.42249308393741836,-0.5198072813354118,-0.0452483549732431,6.786983013153076,10.868053436279297,5.589241981506348,6.638169288635254
42,0,raw,0,2,0.6036332994110604,1.1619169358908685,0.9433062865795692,-0.21861064931129937,-0.18259111824293622,0.059844679541283634,6.786983013153076,11.191450119018555,5.589241981506348,7.7902445793151855
42,0,raw,0,3,0.7270076214374295,1.263691051557807,1.0134898929193001,-0.2502011586385069,-0.3076105232225658,-0.018036169118336512,6.786983013153076,11.994735717773438,5.589241981506348,2.5133941173553467
42,0,raw,0,4,0.7680234150909684,1.2362096862445566,0.8887194821550708,-0.34749020408948583,-0.2595518541208522,0.15951888209564086,6.786983013153076,10.548811912536621,5.589241981506348,2.272364616394043
42,0,raw,0,5,0.6360806262553089,1.2880765054298333,0.8439671682663082,-0.4441093371635251,-0.32889177501196276,0.1619117098973634,6.786983013153076,11.487700462341309,5.589241981506348,7.347529888153076
42,0,raw,0,6,0.6478173814539765,1.146006139779027,0.9594427656203327,-0.1865633741586944,-0.18402098241651887,0.04195138318497805,6.786983013153076,13.76136302947998,5.589241981506348,7.258223056793213
42,0,raw,0,7,0.7914882913055363,1.3130836603519631,0.9972629606560606,-0.31582069969590254,-0.3684680086997498,0.0028144054786351414,6.786983013153076,12.199860572814941,5.589241981506348,7.085345268249512
42,0,raw,0,8,0.718753490666626,1.383178650536051,0.9350460086302286,-0.44813264190582247,-0.45562705701437833,0.07037728574876703,6.786983013153076,12.43713092803955,5.589241981506348,8.386690139770508
42,0,raw,0,9,0.8392076002990689,1.3882379495066794,1.014036538915518,-0.3742014105911615,-0.4523676996653795,-0.028017330198741832,6.786983013153076,11.967183113098145,5.589241981506348,1.5025378465652466
42,0,raw,1,2,0.6972610148350785,1.1640863570777882,0.9983518230571912,-0.165734534020597,-0.16415694384700638,0.0016693953799763821,10.868053436279297,11.191450119018555,6.638169288635254,7.7902445793151855
42,0,raw,1,3,0.8957335699637317,1.228368976996481,0.9677831762852972,-0.26058580071118376,-0.22948120456029547,0.04864007167896969,10.868053436279297,11.994735717773438,6.638169288635254,2.5133941173553467
42,0,raw,1,4,0.9381008611191377,1.1618236487108669,1.0687023291991136,-0.09312131951175329,-0.16189548605171084,-0.11210423884577657,10.868053436279297,10.548811912536621,6.638169288635254,2.272364616394043
42,0,raw,1,5,0.708791272184252,1.1421652156303934,0.9386568804048051,-0.2035083352255883,-0.14238380245014504,0.06166290799695425,10.868053436279297,11.487700462341309,6.638169288635254,7.347529888153076
42,0,raw,1,6,0.6326380330789337,0.9704983799909536,0.8778225224285942,-0.09267585756235941,0.030327215656051836,0.12267117804059019,10.868053436279297,13.76136302947998,6.638169288635254,7.258223056793213
42,0,raw,1,7,0.5482741857926737,0.9579297983353581,0.7445477288152818,-0.21338206952007632,0.04235158046303395,0.25600247658102093,10.868053436279297,12.199860572814941,6.638169288635254,7.085345268249512
42,0,raw,1,8,0.5834357103740286,1.0267021460134125,0.8622281396298143,-0.16447400638359821,-0.026945317158154188,0.14156958793185254,10.868053436279297,12.43713092803955,6.638169288635254,8.386690139770508
42,0,raw,1,9,0.75676519592597,0.9755110180813514,0.930470112006713,-0.0450409060746384,0.024602764296203873,0.16154252790729234,10.868053436279297,11.967183113098145,6.638169288635254,1.5025378465652466
42,0,raw,2,3,0.7571012723197906,1.0009307576496995,0.9838645593170208,-0.01706619833267875,-0.000932995051446052,0.027612444521870717,11.191450119018555,11.994735717773438,7.7902445793151855,2.5133941173553467
42,0,raw,2,4,0.3876493590472073,0.2919485502892971,0.9138515645572685,0.6219030142679713,0.7092894651993155,0.16026278555657159,11.191450119018555,10.548811912536621,7.7902445793151855,2.272364616394043
42,0,raw,2,5,0.5297219077055116,0.948516190617879,0.9738023703707159,0.02528617975283698,0.05150136713371713,0.026242048982849923,11.191450119018555,11.487700462341309,7.7902445793151855,7.347529888153076
42,0,raw,2,6,0.6992177186307775,1.0663936538840761,1.0153504090776662,-0.05104324480640998,-0.06781703660466201,-0.015388487545777894,11.191450119018555,13.76136302947998,7.7902445793151855,7.258223056793213
42,0,raw,2,7,0.7038143513733817,1.0706915063898892,0.8959569912689112,-0.17473451512097804,-0.07095468294022989,0.10450957716242734,11.191450119018555,12.199860572814941,7.7902445793151855,7.085345268249512
42,0,raw,2,8,0.5595878845885606,0.992927412935271,0.9225332672885471,-0.07039414564672386,0.007112001889762817,0.07767878265878088,11.191450119018555,12.43713092803955,7.7902445793151855,8.386690139770508
